Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
1,Computer ,4,Computer Basic application,"Anshu Kr ,Shweta Malik",Pearson Publication,,Rs 225,Satisfactory,7586,3
2,Computer ,7,Computer School,Alpana and Kamlendu Shukla,Surabhi Publication,2012,Rs185,Satisfactory,7586,3
3,Computer ,5,Computer Basic application,"Anshu Kr ,Shweta Malik",Pearson Publication,,Rs 225,Satisfactory,7586,3
4,Computer ,2,Win with computer,Alpana and Kamlendu Shukla,Surabhi Publication,,Rs 155,Satisfactory,7586,3
5,Computer ,,Question Bank on Software ,"Ravi kant taxali ,R.Ravi Chandran ",Tata  Mcgraw Hill publication,1996,,Satisfactory,7586,3
6,Computer ,2,Connect with computers ,Bro Biju Joseph ,Eduline Publication,2001,Rs 210,Satisfactory,7586,3
7,Computer ,,Word Star Proffesion 4.0,"Ravi kant taxali ,R.Ravi Chandran ",Tata  Mcgraw Hill publication,1992,,Satisfactory,7586,3
8,Computer ,2,Computer Horizon,Subhashis Addy,Aces Infotech ,2005,Rs 69,Satisfactory,7586,3
9,Computer ,3,Learning with Basic ,Mukund Narashimha ,Tata  Mcgraw Hill publication,1998,,Satisfactory,7586,3
10,Computer ,7,Computer Vision ,"Vk Malhotra ,Teena Sharma ",Three star publication,,Rs 155,Satisfactory,7586,3
11,Computer ,7,Computer Vision ,"Vk Malhotra ,Teena Sharma ",Three star publication,,Rs 155,Satisfactory,7586,3
12,Computer ,1,i-Connect ,"Krishna kr,Namita Jain",Fk Publication,2014,Rs 140,Satisfactory,7586,3
13,Computer ,4,i-Connect ,"Krishna kr,Namita Jain",Fk Publication,2014,Rs 175,Satisfactory,7586,3
14,Computer ,5,i-Connect ,"Krishna kr,Namita Jain",Fk Publication,2014,Rs 185,Satisfactory,7586,3
15,Computer ,5,Connect with computers ,Bro Biju Joseph ,Eduline Publication,2017,Rs 260,Satisfactory,7586,3
16,Computer ,5,Computer Vision ,"Vk Malhotra ,Teena Sharma ",Three star publication,,Rs 130,Satisfactory,7586,3
17,Computer ,4,Chips and bytes ,"Ashok kr ,Anees Unissa ",Evergreen Publication,2013,Rs 200,Satisfactory,7586,3
18,Computer ,4,Chips and bytes ,"Ashok kr ,Anees Unissa ",Evergreen Publication,2013,Rs 190,Satisfactory,7586,3
19,Computer ,2,Chips and bytes ,"Ashok kr ,Anees Unissa ",Evergreen Publication,2013,Rs 160,Satisfactory,7586,3
20,Computer ,2,Log in Log Out ,Gurpreet kaur ,Tay cee Publication,2016,Rs 145,Satisfactory,7586,3
21,Computer,5,Computer Vision,"Vk Malhotra,Teena Sharma ",Three star Publication,,Rs 130,Satisfactory,7586,3
22,Computer,6,Computer Vision,"Vk Malhotra,Teena Sharma ",Three star Publication,,Rs 140,Satisfactory,7586,3
23,Computer,6,Computer Vision,"Vk Malhotra,Teena Sharma ",Three star Publication,,Rs 140,Satisfactory,7586,3
24,Computer,6,Computer Vision,"Vk Malhotra,Teena Sharma ",Three star Publication,,Rs 140,Satisfactory,7586,3
25,Computer,7,Computer Vision,"Vk Malhotra,Teena Sharma ",Three star Publication,,Rs 155,Satisfactory,7586,3
